t=1.360000, y(t)=2.423102, y'(t)=1.474351, z(t)=1.783073, z'(t)=-0.023815, v(t)=0.090658, v'(t)=-0.543157, X(t)=3.051636, Y(t)=3.656804, Z(t)=-2.684595
t=1.380000, y(t)=2.452455, y'(t)=1.460949, z(t)=1.782594, z'(t)=-0.024119, v(t)=0.079117, v'(t)=-0.609327, X(t)=2.947102, Y(t)=3.644304, Z(t)=-2.751593
t=1.400000, y(t)=2.481540, y'(t)=1.447496, z(t)=1.782108, z'(t)=-0.024422, v(t)=0.066351, v'(t)=-0.665521, X(t)=2.841059, Y(t)=3.630568, Z(t)=-2.815587
t=1.420000, y(t)=2.510355, y'(t)=1.434012, z(t)=1.781617, z'(t)=-0.024723, v(t)=0.052569, v'(t)=-0.710885, X(t)=2.733669, Y(t)=3.615802, Z(t)=-2.876590
t=1.440000, y(t)=2.538900, y'(t)=1.420517, z(t)=1.781119, z'(t)=-0.025024, v(t)=0.037993, v'(t)=-0.744737, X(t)=2.625090, Y(t)=3.600231, Z(t)=-2.934616
t=1.460000, y(t)=2.567176, y'(t)=1.407031, z(t)=1.780616, z'(t)=-0.025323, v(t)=0.022859, v'(t)=-0.766584, X(t)=2.515473, Y(t)=3.584091, Z(t)=-2.989686
t=1.480000, y(t)=2.595182, y'(t)=1.393577, z(t)=1.780106, z'(t)=-0.025621, v(t)=0.007412, v'(t)=-0.776125, X(t)=2.404965, Y(t)=3.567624, Z(t)=-3.041827
t=1.500000, y(t)=2.622919, y'(t)=1.380175, z(t)=1.779591, z'(t)=-0.025918, v(t)=-0.008103, v'(t)=-0.773257, X(t)=2.293705, Y(t)=3.551079, Z(t)=-3.091069
t=1.520000, y(t)=2.650389, y'(t)=1.366847, z(t)=1.779070, z'(t)=-0.026214, v(t)=-0.023436, v'(t)=-0.758076, X(t)=2.181829, Y(t)=3.534703, Z(t)=-3.137445
t=1.540000, y(t)=2.677593, y'(t)=1.353613, z(t)=1.778542, z'(t)=-0.026508, v(t)=-0.038346, v'(t)=-0.730872, X(t)=2.069464, Y(t)=3.518739, Z(t)=-3.180994
t=1.560000, y(t)=2.704534, y'(t)=1.340496, z(t)=1.778009, z'(t)=-0.026802, v(t)=-0.052594, v'(t)=-0.692128, X(t)=1.956731, Y(t)=3.503424, Z(t)=-3.221755
t=1.580000, y(t)=2.731214, y'(t)=1.327517, z(t)=1.777470, z'(t)=-0.027094, v(t)=-0.065958, v'(t)=-0.642507, X(t)=1.843746, Y(t)=3.488982, Z(t)=-3.259774
t=1.600000, y(t)=2.757636, y'(t)=1.314696, z(t)=1.776925, z'(t)=-0.027385, v(t)=-0.078227, v'(t)=-0.582844, X(t)=1.730617, Y(t)=3.475623, Z(t)=-3.295094
t=1.620000, y(t)=2.783803, y'(t)=1.302055, z(t)=1.776375, z'(t)=-0.027675, v(t)=-0.089211, v'(t)=-0.514130, X(t)=1.617445, Y(t)=3.463538, Z(t)=-3.327766
t=1.640000, y(t)=2.809720, y'(t)=1.289615, z(t)=1.775818, z'(t)=-0.027964, v(t)=-0.098740, v'(t)=-0.437498, X(t)=1.504327, Y(t)=3.452897, Z(t)=-3.357837
t=1.660000, y(t)=2.835389, y'(t)=1.277396, z(t)=1.775256, z'(t)=-0.028251, v(t)=-0.106667, v'(t)=-0.354201, X(t)=1.391350, Y(t)=3.443846, Z(t)=-3.385360
t=1.680000, y(t)=2.860817, y'(t)=1.265418, z(t)=1.774688, z'(t)=-0.028538, v(t)=-0.112872, v'(t)=-0.265594, X(t)=1.278596, Y(t)=3.436504, Z(t)=-3.410386
t=1.700000, y(t)=2.886008, y'(t)=1.253701, z(t)=1.774115, z'(t)=-0.028823, v(t)=-0.117265, v'(t)=-0.173111, X(t)=1.166142, Y(t)=3.430965, Z(t)=-3.432968
t=1.720000, y(t)=2.910967, y'(t)=1.242263, z(t)=1.773536, z'(t)=-0.029107, v(t)=-0.119781, v'(t)=-0.078242, X(t)=1.054057, Y(t)=3.427290, Z(t)=-3.453157
t=1.740000, y(t)=2.935700, y'(t)=1.231122, z(t)=1.772951, z'(t)=-0.029390, v(t)=-0.120389, v'(t)=0.017490, X(t)=0.942405, Y(t)=3.425512, Z(t)=-3.471008
t=1.760000, y(t)=2.960214, y'(t)=1.220297, z(t)=1.772360, z'(t)=-0.029672, v(t)=-0.119086, v'(t)=0.112555, X(t)=0.831242, Y(t)=3.425634, Z(t)=-3.486572
t=1.780000, y(t)=2.984514, y'(t)=1.209804, z(t)=1.771764, z'(t)=-0.029953, v(t)=-0.115901, v'(t)=0.205441, X(t)=0.720622, Y(t)=3.427626, Z(t)=-3.499901
t=1.800000, y(t)=3.008608, y'(t)=1.199659, z(t)=1.771162, z'(t)=-0.030232, v(t)=-0.110893, v'(t)=0.294674, X(t)=0.610592, Y(t)=3.431431, Z(t)=-3.511047
t=1.820000, y(t)=3.032503, y'(t)=1.189878, z(t)=1.770554, z'(t)=-0.030511, v(t)=-0.104148, v'(t)=0.378846, X(t)=0.501191, Y(t)=3.436961, Z(t)=-3.520059
t=1.840000, y(t)=3.056206, y'(t)=1.180474, z(t)=1.769941, z'(t)=-0.030788, v(t)=-0.095781, v'(t)=0.456635, X(t)=0.392459, Y(t)=3.444101, Z(t)=-3.526986
t=1.860000, y(t)=3.079725, y'(t)=1.171461, z(t)=1.769323, z'(t)=-0.031065, v(t)=-0.085933, v'(t)=0.526826, X(t)=0.284426, Y(t)=3.452713, Z(t)=-3.531876
t=1.880000, y(t)=3.103067, y'(t)=1.162852, z(t)=1.768699, z'(t)=-0.031340, v(t)=-0.074766, v'(t)=0.588331, X(t)=0.177120, Y(t)=3.462631, Z(t)=-3.534773
t=1.900000, y(t)=3.126242, y'(t)=1.154657, z(t)=1.768069, z'(t)=-0.031614, v(t)=-0.062464, v'(t)=0.640202, X(t)=0.070566, Y(t)=3.473674, Z(t)=-3.535722
t=1.920000, y(t)=3.149256, y'(t)=1.146887, z(t)=1.767434, z'(t)=-0.031887, v(t)=-0.049228, v'(t)=0.681652, X(t)=-0.035217, Y(t)=3.485641, Z(t)=-3.534765
t=1.940000, y(t)=3.172120, y'(t)=1.139550, z(t)=1.766794, z'(t)=-0.032159, v(t)=-0.035272, v'(t)=0.712061, X(t)=-0.140210, Y(t)=3.498316, Z(t)=-3.531941
t=1.960000, y(t)=3.194841, y'(t)=1.132655, z(t)=1.766148, z'(t)=-0.032430, v(t)=-0.020822, v'(t)=0.730988, X(t)=-0.244401, Y(t)=3.511474, Z(t)=-3.527289
t=1.980000, y(t)=3.217429, y'(t)=1.126208, z(t)=1.765497, z'(t)=-0.032699, v(t)=-0.006111, v'(t)=0.738177, X(t)=-0.347778, Y(t)=3.524883, Z(t)=-3.520844
t=2.000000, y(t)=3.239893, y'(t)=1.120215, z(t)=1.764840, z'(t)=-0.032968, v(t)=0.008626, v'(t)=0.733560, X(t)=-0.450332, Y(t)=3.538306, Z(t)=-3.512640
t=2.020000, y(t)=3.262241, y'(t)=1.114680, z(t)=1.764178, z'(t)=-0.033236, v(t)=0.023154, v'(t)=0.717259, X(t)=-0.552055, Y(t)=3.551510, Z(t)=-3.502708
t=2.040000, y(t)=3.284483, y'(t)=1.109605, z(t)=1.763511, z'(t)=-0.033502, v(t)=0.037241, v'(t)=0.689579, X(t)=-0.652943, Y(t)=3.564262, Z(t)=-3.491076
t=2.060000, y(t)=3.306628, y'(t)=1.104993, z(t)=1.762838, z'(t)=-0.033768, v(t)=0.050664, v'(t)=0.651009, X(t)=-0.752991, Y(t)=3.576340, Z(t)=-3.477771
t=2.080000, y(t)=3.328686, y'(t)=1.100844, z(t)=1.762160, z'(t)=-0.034032, v(t)=0.063213, v'(t)=0.602205, X(t)=-0.852196, Y(t)=3.587532, Z(t)=-3.462817
t=2.100000, y(t)=3.350665, y'(t)=1.097156, z(t)=1.761477, z'(t)=-0.034295, v(t)=0.074690, v'(t)=0.543988, X(t)=-0.950557, Y(t)=3.597643, Z(t)=-3.446237
t=2.120000, y(t)=3.372575, y'(t)=1.093928, z(t)=1.760788, z'(t)=-0.034558, v(t)=0.084916, v'(t)=0.477323, X(t)=-1.048071, Y(t)=3.606492, Z(t)=-3.428050
t=2.140000, y(t)=3.394425, y'(t)=1.091155, z(t)=1.760094, z'(t)=-0.034819, v(t)=0.093733, v'(t)=0.403307, X(t)=-1.144735, Y(t)=3.613922, Z(t)=-3.408274
t=2.160000, y(t)=3.416224, y'(t)=1.088834, z(t)=1.759395, z'(t)=-0.035079, v(t)=0.101007, v'(t)=0.323150, X(t)=-1.240550, Y(t)=3.619798, Z(t)=-3.386925
t=2.180000, y(t)=3.437981, y'(t)=1.086959, z(t)=1.758691, z'(t)=-0.035338, v(t)=0.106627, v'(t)=0.238155, X(t)=-1.335511, Y(t)=3.624009, Z(t)=-3.364015
t=2.200000, y(t)=3.459705, y'(t)=1.085521, z(t)=1.757982, z'(t)=-0.035596, v(t)=0.110510, v'(t)=0.149696, X(t)=-1.429615, Y(t)=3.626474, Z(t)=-3.339558
t=2.220000, y(t)=3.481405, y'(t)=1.084512, z(t)=1.757267, z'(t)=-0.035853, v(t)=0.112601, v'(t)=0.059198, X(t)=-1.522860, Y(t)=3.627136, Z(t)=-3.313564
t=2.240000, y(t)=3.503089, y'(t)=1.083923, z(t)=1.756548, z'(t)=-0.036110, v(t)=0.112874, v'(t)=-0.031888, X(t)=-1.615238, Y(t)=3.625970, Z(t)=-3.286040
t=2.260000, y(t)=3.524765, y'(t)=1.083743, z(t)=1.755823, z'(t)=-0.036365, v(t)=0.111332, v'(t)=-0.122107, X(t)=-1.706743, Y(t)=3.622977, Z(t)=-3.256993
t=2.280000, y(t)=3.546441, y'(t)=1.083959, z(t)=1.755093, z'(t)=-0.036619, v(t)=0.108005, v'(t)=-0.210023, X(t)=-1.797367, Y(t)=3.618191, Z(t)=-3.226430
t=2.300000, y(t)=3.568126, y'(t)=1.084560, z(t)=1.754358, z'(t)=-0.036872, v(t)=0.102955, v'(t)=-0.294245, X(t)=-1.887100, Y(t)=3.611672, Z(t)=-3.194355
t=2.320000, y(t)=3.589826, y'(t)=1.085529, z(t)=1.753618, z'(t)=-0.037124, v(t)=0.096269, v'(t)=-0.373443, X(t)=-1.975929, Y(t)=3.603505, Z(t)=-3.160771
t=2.340000, y(t)=3.611549, y'(t)=1.086853, z(t)=1.752873, z'(t)=-0.037375, v(t)=0.088059, v'(t)=-0.446375, X(t)=-2.063839, Y(t)=3.593806, Z(t)=-3.125681
t=2.360000, y(t)=3.633302, y'(t)=1.088515, z(t)=1.752123, z'(t)=-0.037625, v(t)=0.078463, v'(t)=-0.511902, X(t)=-2.150815, Y(t)=3.582710, Z(t)=-3.089088
t=2.380000, y(t)=3.655092, y'(t)=1.090498, z(t)=1.751368, z'(t)=-0.037874, v(t)=0.067640, v'(t)=-0.569010, X(t)=-2.236836, Y(t)=3.570376, Z(t)=-3.050992
t=2.400000, y(t)=3.676924, y'(t)=1.092784, z(t)=1.750608, z'(t)=-0.038122, v(t)=0.055765, v'(t)=-0.616820, X(t)=-2.321881, Y(t)=3.556982, Z(t)=-3.011395
t=2.420000, y(t)=3.698805, y'(t)=1.095354, z(t)=1.749843, z'(t)=-0.038369, v(t)=0.043034, v'(t)=-0.654609, X(t)=-2.405927, Y(t)=3.542720, Z(t)=-2.970298
t=2.440000, y(t)=3.720740, y'(t)=1.098189, z(t)=1.749074, z'(t)=-0.038615, v(t)=0.029651, v'(t)=-0.681813, X(t)=-2.488945, Y(t)=3.527799, Z(t)=-2.927703
t=2.460000, y(t)=3.742734, y'(t)=1.101270, z(t)=1.748299, z'(t)=-0.038860, v(t)=0.015834, v'(t)=-0.698040, X(t)=-2.570907, Y(t)=3.512432, Z(t)=-2.883611
t=2.480000, y(t)=3.764792, y'(t)=1.104574, z(t)=1.747519, z'(t)=-0.039104, v(t)=0.001805, v'(t)=-0.703076, X(t)=-2.651781, Y(t)=3.496843, Z(t)=-2.838024
t=2.500000, y(t)=3.786919, y'(t)=1.108081, z(t)=1.746735, z'(t)=-0.039347, v(t)=-0.012214, v'(t)=-0.696885, X(t)=-2.731532, Y(t)=3.481256, Z(t)=-2.790946
t=2.520000, y(t)=3.809117, y'(t)=1.111770, z(t)=1.745945, z'(t)=-0.039589, v(t)=-0.025997, v'(t)=-0.679610, X(t)=-2.810122, Y(t)=3.465894, Z(t)=-2.742380
t=2.540000, y(t)=3.831391, y'(t)=1.115617, z(t)=1.745151, z'(t)=-0.039830, v(t)=-0.039326, v'(t)=-0.651572, X(t)=-2.887512, Y(t)=3.450976, Z(t)=-2.692331
t=2.560000, y(t)=3.853743, y'(t)=1.119601, z(t)=1.744352, z'(t)=-0.040070, v(t)=-0.051991, v'(t)=-0.613260, X(t)=-2.963659, Y(t)=3.436713, Z(t)=-2.640805
t=2.580000, y(t)=3.876175, y'(t)=1.123699, z(t)=1.743548, z'(t)=-0.040310, v(t)=-0.063792, v'(t)=-0.565326, X(t)=-3.038519, Y(t)=3.423304, Z(t)=-2.587811
t=2.600000, y(t)=3.898691, y'(t)=1.127888, z(t)=1.742740, z'(t)=-0.040548, v(t)=-0.074545, v'(t)=-0.508573, X(t)=-3.112045, Y(t)=3.410934, Z(t)=-2.533358
t=2.620000, y(t)=3.921291, y'(t)=1.132146, z(t)=1.741926, z'(t)=-0.040785, v(t)=-0.084083, v'(t)=-0.443942, X(t)=-3.184188, Y(t)=3.399770, Z(t)=-2.477456
t=2.640000, y(t)=3.943977, y'(t)=1.136448, z(t)=1.741108, z'(t)=-0.041022, v(t)=-0.092257, v'(t)=-0.372493, X(t)=-3.254898, Y(t)=3.389959, Z(t)=-2.420120
