t=4.150000, y(t)=1.319515, y'(t)=0.271036, z(t)=-3.834615, z'(t)=-0.774306, v(t)=-0.099046, v'(t)=1.258821, X(t)=0.460818, Y(t)=2.231759, Z(t)=1.795114
t=4.200000, y(t)=1.333042, y'(t)=0.270022, z(t)=-3.874092, z'(t)=-0.805022, v(t)=-0.031454, v'(t)=1.416836, X(t)=0.467546, Y(t)=2.207130, Z(t)=1.929311
t=4.250000, y(t)=1.346517, y'(t)=0.269011, z(t)=-3.915140, z'(t)=-0.837154, v(t)=0.039681, v'(t)=1.399249, X(t)=0.472331, Y(t)=2.174699, Z(t)=2.070567
t=4.300000, y(t)=1.359943, y'(t)=0.268004, z(t)=-3.957831, z'(t)=-0.870702, v(t)=0.105564, v'(t)=1.209107, X(t)=0.473557, Y(t)=2.127209, Z(t)=2.212523
t=4.350000, y(t)=1.373318, y'(t)=0.267001, z(t)=-4.002234, z'(t)=-0.905654, v(t)=0.158094, v'(t)=0.870732, X(t)=0.469826, Y(t)=2.058924, Z(t)=2.348117
t=4.400000, y(t)=1.386643, y'(t)=0.266002, z(t)=-4.048419, z'(t)=-0.941992, v(t)=0.190856, v'(t)=0.426614, X(t)=0.460160, Y(t)=1.966359, Z(t)=2.470475
t=4.450000, y(t)=1.399918, y'(t)=0.265006, z(t)=-4.096456, z'(t)=-0.979688, v(t)=0.199906, v'(t)=-0.067922, X(t)=0.444144, Y(t)=1.848651, Z(t)=2.573834
t=4.500000, y(t)=1.413144, y'(t)=0.264014, z(t)=-4.146410, z'(t)=-1.018701, v(t)=0.184245, v'(t)=-0.551609, X(t)=0.421971, Y(t)=1.707527, Z(t)=2.654375
t=4.550000, y(t)=1.426320, y'(t)=0.263026, z(t)=-4.198347, z'(t)=-1.058981, v(t)=0.145930, v'(t)=-0.964820, X(t)=0.394399, Y(t)=1.546857, Z(t)=2.710823
t=4.600000, y(t)=1.439446, y'(t)=0.262042, z(t)=-4.252328, z'(t)=-1.100458, v(t)=0.089802, v'(t)=-1.256927, X(t)=0.362603, Y(t)=1.371880, Z(t)=2.744693
t=4.650000, y(t)=1.452524, y'(t)=0.261061, z(t)=-4.308411, z'(t)=-1.143050, v(t)=0.022873, v'(t)=-1.392491, X(t)=0.327978, Y(t)=1.188228, Z(t)=2.760128
t=4.700000, y(t)=1.465552, y'(t)=0.260084, z(t)=-4.366650, z'(t)=-1.186656, v(t)=-0.046543, v'(t)=-1.355570, X(t)=0.291900, Y(t)=1.000903, Z(t)=2.763313
t=4.750000, y(t)=1.478532, y'(t)=0.259110, z(t)=-4.427092, z'(t)=-1.231156, v(t)=-0.109870, v'(t)=-1.151580, X(t)=0.255514, Y(t)=0.813406, Z(t)=2.761510
t=4.800000, y(t)=1.491463, y'(t)=0.258140, z(t)=-4.489778, z'(t)=-1.276408, v(t)=-0.159325, v'(t)=-0.806523, X(t)=0.219568, Y(t)=0.627155, Z(t)=2.761866
t=4.850000, y(t)=1.504346, y'(t)=0.257174, z(t)=-4.554742, z'(t)=-1.322248, v(t)=-0.188874, v'(t)=-0.363679, X(t)=0.184347, Y(t)=0.441331, Z(t)=2.770139
t=4.900000, y(t)=1.517181, y'(t)=0.256211, z(t)=-4.622010, z'(t)=-1.368490, v(t)=-0.194973, v'(t)=0.121825, X(t)=0.149707, Y(t)=0.253172, Z(t)=2.789564
t=4.950000, y(t)=1.529968, y'(t)=0.255252, z(t)=-4.691595, z'(t)=-1.414923, v(t)=-0.176985, v'(t)=0.589873, X(t)=0.115203, Y(t)=0.058698, Z(t)=2.820053
t=5.000000, y(t)=1.542706, y'(t)=0.254297, z(t)=-4.763501, z'(t)=-1.461311, v(t)=-0.137250, v'(t)=0.982803, X(t)=0.080299, Y(t)=-0.146258, Z(t)=2.857884
t=5.050000, y(t)=1.555397, y'(t)=0.253345, z(t)=-4.837721, z'(t)=-1.507395, v(t)=-0.080779, v'(t)=1.252511, X(t)=0.044599, Y(t)=-0.364914, Z(t)=2.895980
t=5.100000, y(t)=1.568041, y'(t)=0.252397, z(t)=-4.914231, z'(t)=-1.552892, v(t)=-0.014623, v'(t)=1.366334, X(t)=0.008059, Y(t)=-0.598491, Z(t)=2.924760
t=5.150000, y(t)=1.580637, y'(t)=0.251452, z(t)=-4.992995, z'(t)=-1.597496, v(t)=0.053006, v'(t)=1.311006, X(t)=-0.028868, Y(t)=-0.845494, Z(t)=2.933454
t=5.200000, y(t)=1.593186, y'(t)=0.250511, z(t)=-5.073960, z'(t)=-1.640882, v(t)=0.113758, v'(t)=1.094200, X(t)=-0.065203, Y(t)=-1.101474, Z(t)=2.911699
t=5.250000, y(t)=1.605688, y'(t)=0.249573, z(t)=-5.157057, z'(t)=-1.682709, v(t)=0.160170, v'(t)=0.743472, X(t)=-0.099521, Y(t)=-1.359374, Z(t)=2.851118
t=5.300000, y(t)=1.618143, y'(t)=0.248639, z(t)=-5.242199, z'(t)=-1.722624, v(t)=0.186589, v'(t)=0.302764, X(t)=-0.130143, Y(t)=-1.610405, Z(t)=2.746635
