t=0.900000, y(t)=-2.562066, y'(t)=1.404310, z(t)=-0.177904, z'(t)=3.526686, v(t)=-1.683788, v'(t)=-1.747432, X(t)=-2.562066, Y(t)=-0.177904, Z(t)=-1.683788
t=0.910000, y(t)=-2.548043, y'(t)=1.400206, z(t)=-0.142714, z'(t)=3.511407, v(t)=-1.701249, v'(t)=-1.744813, X(t)=-2.548043, Y(t)=-0.142714, Z(t)=-1.701249
t=0.920000, y(t)=-2.534062, y'(t)=1.396109, z(t)=-0.107676, z'(t)=3.496151, v(t)=-1.718684, v'(t)=-1.742197, X(t)=-2.534062, Y(t)=-0.107676, Z(t)=-1.718684
t=0.930000, y(t)=-2.520121, y'(t)=1.392018, z(t)=-0.072791, z'(t)=3.480919, v(t)=-1.736093, v'(t)=-1.739586, X(t)=-2.520121, Y(t)=-0.072791, Z(t)=-1.736093
t=0.940000, y(t)=-2.506221, y'(t)=1.387933, z(t)=-0.038058, z'(t)=3.465709, v(t)=-1.753476, v'(t)=-1.736979, X(t)=-2.506221, Y(t)=-0.038058, Z(t)=-1.753476
t=0.950000, y(t)=-2.492362, y'(t)=1.383854, z(t)=-0.003476, z'(t)=3.450521, v(t)=-1.770833, v'(t)=-1.734375, X(t)=-2.492362, Y(t)=-0.003476, Z(t)=-1.770833
t=0.960000, y(t)=-2.478544, y'(t)=1.379782, z(t)=0.030953, z'(t)=3.435357, v(t)=-1.788163, v'(t)=-1.731775, X(t)=-2.478544, Y(t)=0.030953, Z(t)=-1.788163
t=0.970000, y(t)=-2.464767, y'(t)=1.375715, z(t)=0.065231, z'(t)=3.420215, v(t)=-1.805468, v'(t)=-1.729180, X(t)=-2.464767, Y(t)=0.065231, Z(t)=-1.805468
t=0.980000, y(t)=-2.451030, y'(t)=1.371654, z(t)=0.099357, z'(t)=3.405096, v(t)=-1.822747, v'(t)=-1.726588, X(t)=-2.451030, Y(t)=0.099357, Z(t)=-1.822747
t=0.990000, y(t)=-2.437333, y'(t)=1.367600, z(t)=0.133333, z'(t)=3.390000, v(t)=-1.840000, v'(t)=-1.724000, X(t)=-2.437333, Y(t)=0.133333, Z(t)=-1.840000
t=1.000000, y(t)=-2.423678, y'(t)=1.363552, z(t)=0.167157, z'(t)=3.374926, v(t)=-1.857227, v'(t)=-1.721416, X(t)=-2.423678, Y(t)=0.167157, Z(t)=-1.857227
t=1.010000, y(t)=-2.410062, y'(t)=1.359509, z(t)=0.200831, z'(t)=3.359875, v(t)=-1.874428, v'(t)=-1.718836, X(t)=-2.410062, Y(t)=0.200831, Z(t)=-1.874428
t=1.020000, y(t)=-2.396488, y'(t)=1.355473, z(t)=0.234355, z'(t)=3.344847, v(t)=-1.891604, v'(t)=-1.716259, X(t)=-2.396488, Y(t)=0.234355, Z(t)=-1.891604
t=1.030000, y(t)=-2.382953, y'(t)=1.351443, z(t)=0.267728, z'(t)=3.329841, v(t)=-1.908753, v'(t)=-1.713687, X(t)=-2.382953, Y(t)=0.267728, Z(t)=-1.908753
t=1.040000, y(t)=-2.369459, y'(t)=1.347419, z(t)=0.300952, z'(t)=3.314857, v(t)=-1.925877, v'(t)=-1.711118, X(t)=-2.369459, Y(t)=0.300952, Z(t)=-1.925877
t=1.050000, y(t)=-2.356005, y'(t)=1.343401, z(t)=0.334026, z'(t)=3.299896, v(t)=-1.942976, v'(t)=-1.708554, X(t)=-2.356005, Y(t)=0.334026, Z(t)=-1.942976
t=1.060000, y(t)=-2.342591, y'(t)=1.339389, z(t)=0.366950, z'(t)=3.284958, v(t)=-1.960049, v'(t)=-1.705993, X(t)=-2.342591, Y(t)=0.366950, Z(t)=-1.960049
t=1.070000, y(t)=-2.329217, y'(t)=1.335383, z(t)=0.399725, z'(t)=3.270041, v(t)=-1.977096, v'(t)=-1.703436, X(t)=-2.329217, Y(t)=0.399725, Z(t)=-1.977096
t=1.080000, y(t)=-2.315883, y'(t)=1.331382, z(t)=0.432351, z'(t)=3.255147, v(t)=-1.994117, v'(t)=-1.700882, X(t)=-2.315883, Y(t)=0.432351, Z(t)=-1.994117
t=1.090000, y(t)=-2.302589, y'(t)=1.327388, z(t)=0.464828, z'(t)=3.240276, v(t)=-2.011113, v'(t)=-1.698333, X(t)=-2.302589, Y(t)=0.464828, Z(t)=-2.011113
t=1.100000, y(t)=-2.289335, y'(t)=1.323400, z(t)=0.497156, z'(t)=3.225427, v(t)=-2.028084, v'(t)=-1.695787, X(t)=-2.289335, Y(t)=0.497156, Z(t)=-2.028084
t=1.110000, y(t)=-2.276121, y'(t)=1.319418, z(t)=0.529336, z'(t)=3.210600, v(t)=-2.045029, v'(t)=-1.693246, X(t)=-2.276121, Y(t)=0.529336, Z(t)=-2.045029
t=1.120000, y(t)=-2.262947, y'(t)=1.315442, z(t)=0.561368, z'(t)=3.195795, v(t)=-2.061949, v'(t)=-1.690708, X(t)=-2.262947, Y(t)=0.561368, Z(t)=-2.061949
t=1.130000, y(t)=-2.249812, y'(t)=1.311472, z(t)=0.593252, z'(t)=3.181012, v(t)=-2.078843, v'(t)=-1.688174, X(t)=-2.249812, Y(t)=0.593252, Z(t)=-2.078843
t=1.140000, y(t)=-2.236717, y'(t)=1.307508, z(t)=0.624989, z'(t)=3.166252, v(t)=-2.095712, v'(t)=-1.685643, X(t)=-2.236717, Y(t)=0.624989, Z(t)=-2.095712
t=1.150000, y(t)=-2.223662, y'(t)=1.303549, z(t)=0.656578, z'(t)=3.151513, v(t)=-2.112556, v'(t)=-1.683117, X(t)=-2.223662, Y(t)=0.656578, Z(t)=-2.112556
t=1.160000, y(t)=-2.210646, y'(t)=1.299597, z(t)=0.688019, z'(t)=3.136797, v(t)=-2.129375, v'(t)=-1.680594, X(t)=-2.210646, Y(t)=0.688019, Z(t)=-2.129375
t=1.170000, y(t)=-2.197670, y'(t)=1.295651, z(t)=0.719314, z'(t)=3.122103, v(t)=-2.146168, v'(t)=-1.678075, X(t)=-2.197670, Y(t)=0.719314, Z(t)=-2.146168
t=1.180000, y(t)=-2.184733, y'(t)=1.291710, z(t)=0.750461, z'(t)=3.107431, v(t)=-2.162936, v'(t)=-1.675560, X(t)=-2.184733, Y(t)=0.750461, Z(t)=-2.162936
t=1.190000, y(t)=-2.171836, y'(t)=1.287775, z(t)=0.781462, z'(t)=3.092781, v(t)=-2.179679, v'(t)=-1.673048, X(t)=-2.171836, Y(t)=0.781462, Z(t)=-2.179679
t=1.200000, y(t)=-2.158978, y'(t)=1.283847, z(t)=0.812317, z'(t)=3.078152, v(t)=-2.196397, v'(t)=-1.670540, X(t)=-2.158978, Y(t)=0.812317, Z(t)=-2.196397
t=1.210000, y(t)=-2.146159, y'(t)=1.279924, z(t)=0.843025, z'(t)=3.063546, v(t)=-2.213090, v'(t)=-1.668036, X(t)=-2.146159, Y(t)=0.843025, Z(t)=-2.213090
t=1.220000, y(t)=-2.133379, y'(t)=1.276007, z(t)=0.873588, z'(t)=3.048962, v(t)=-2.229758, v'(t)=-1.665536, X(t)=-2.133379, Y(t)=0.873588, Z(t)=-2.229758
t=1.230000, y(t)=-2.120639, y'(t)=1.272096, z(t)=0.904005, z'(t)=3.034399, v(t)=-2.246401, v'(t)=-1.663040, X(t)=-2.120639, Y(t)=0.904005, Z(t)=-2.246401
t=1.240000, y(t)=-2.107937, y'(t)=1.268191, z(t)=0.934276, z'(t)=3.019859, v(t)=-2.263019, v'(t)=-1.660547, X(t)=-2.107937, Y(t)=0.934276, Z(t)=-2.263019
t=1.250000, y(t)=-2.095275, y'(t)=1.264291, z(t)=0.964402, z'(t)=3.005340, v(t)=-2.279612, v'(t)=-1.658058, X(t)=-2.095275, Y(t)=0.964402, Z(t)=-2.279612
t=1.260000, y(t)=-2.082651, y'(t)=1.260398, z(t)=0.994383, z'(t)=2.990843, v(t)=-2.296180, v'(t)=-1.655573, X(t)=-2.082651, Y(t)=0.994383, Z(t)=-2.296180
t=1.270000, y(t)=-2.070067, y'(t)=1.256510, z(t)=1.024219, z'(t)=2.976367, v(t)=-2.312723, v'(t)=-1.653092, X(t)=-2.070067, Y(t)=1.024219, Z(t)=-2.312723
t=1.280000, y(t)=-2.057521, y'(t)=1.252628, z(t)=1.053910, z'(t)=2.961913, v(t)=-2.329242, v'(t)=-1.650614, X(t)=-2.057521, Y(t)=1.053910, Z(t)=-2.329242
