t=4.200000, y(t)=3.268253, y'(t)=0.769188, z(t)=4.374378, z'(t)=0.022967, v(t)=0.000000, v'(t)=0.000000, X(t)=-0.552581, Y(t)=-4.339336, Z(t)=0.000000
t=4.250000, y(t)=3.306708, y'(t)=0.768987, z(t)=4.375511, z'(t)=0.022331, v(t)=0.000000, v'(t)=0.000000, X(t)=-0.719184, Y(t)=-4.316002, Z(t)=0.000000
t=4.300000, y(t)=3.345152, y'(t)=0.768786, z(t)=4.376612, z'(t)=0.021725, v(t)=0.000000, v'(t)=0.000000, X(t)=-0.884760, Y(t)=-4.286249, Z(t)=0.000000
t=4.350000, y(t)=3.383586, y'(t)=0.768586, z(t)=4.377684, z'(t)=0.021149, v(t)=0.000000, v'(t)=0.000000, X(t)=-1.049062, Y(t)=-4.250128, Z(t)=0.000000
t=4.400000, y(t)=3.422010, y'(t)=0.768385, z(t)=4.378727, z'(t)=0.020600, v(t)=0.000000, v'(t)=0.000000, X(t)=-1.211844, Y(t)=-4.207694, Z(t)=0.000000
t=4.450000, y(t)=3.460425, y'(t)=0.768185, z(t)=4.379744, z'(t)=0.020077, v(t)=0.000000, v'(t)=0.000000, X(t)=-1.372865, Y(t)=-4.159015, Z(t)=0.000000
t=4.500000, y(t)=3.498829, y'(t)=0.767985, z(t)=4.380735, z'(t)=0.019579, v(t)=0.000000, v'(t)=0.000000, X(t)=-1.531883, Y(t)=-4.104166, Z(t)=0.000000
t=4.550000, y(t)=3.537223, y'(t)=0.767785, z(t)=4.381702, z'(t)=0.019103, v(t)=0.000000, v'(t)=0.000000, X(t)=-1.688665, Y(t)=-4.043232, Z(t)=0.000000
t=4.600000, y(t)=3.575607, y'(t)=0.767585, z(t)=4.382646, z'(t)=0.018650, v(t)=0.000000, v'(t)=0.000000, X(t)=-1.842976, Y(t)=-3.976308, Z(t)=0.000000
t=4.650000, y(t)=3.613982, y'(t)=0.767385, z(t)=4.383568, z'(t)=0.018217, v(t)=0.000000, v'(t)=0.000000, X(t)=-1.994589, Y(t)=-3.903496, Z(t)=0.000000
t=4.700000, y(t)=3.652346, y'(t)=0.767185, z(t)=4.384468, z'(t)=0.017803, v(t)=0.000000, v'(t)=0.000000, X(t)=-2.143279, Y(t)=-3.824907, Z(t)=0.000000
t=4.750000, y(t)=3.690700, y'(t)=0.766986, z(t)=4.385348, z'(t)=0.017408, v(t)=0.000000, v'(t)=0.000000, X(t)=-2.288828, Y(t)=-3.740661, Z(t)=0.000000
t=4.800000, y(t)=3.729045, y'(t)=0.766787, z(t)=4.386209, z'(t)=0.017030, v(t)=0.000000, v'(t)=0.000000, X(t)=-2.431021, Y(t)=-3.650886, Z(t)=0.000000
t=4.850000, y(t)=3.767379, y'(t)=0.766587, z(t)=4.387052, z'(t)=0.016668, v(t)=0.000000, v'(t)=0.000000, X(t)=-2.569648, Y(t)=-3.555718, Z(t)=0.000000
t=4.900000, y(t)=3.805703, y'(t)=0.766388, z(t)=4.387876, z'(t)=0.016321, v(t)=0.000000, v'(t)=0.000000, X(t)=-2.704507, Y(t)=-3.455300, Z(t)=0.000000
t=4.950000, y(t)=3.844018, y'(t)=0.766189, z(t)=4.388684, z'(t)=0.015988, v(t)=0.000000, v'(t)=0.000000, X(t)=-2.835399, Y(t)=-3.349785, Z(t)=0.000000
t=5.000000, y(t)=3.882322, y'(t)=0.765990, z(t)=4.389475, z'(t)=0.015669, v(t)=0.000000, v'(t)=0.000000, X(t)=-2.962134, Y(t)=-3.239329, Z(t)=0.000000
t=5.050000, y(t)=3.920617, y'(t)=0.765792, z(t)=4.390251, z'(t)=0.015363, v(t)=0.000000, v'(t)=0.000000, X(t)=-3.084526, Y(t)=-3.124101, Z(t)=0.000000
t=5.100000, y(t)=3.958901, y'(t)=0.765593, z(t)=4.391012, z'(t)=0.015069, v(t)=0.000000, v'(t)=0.000000, X(t)=-3.202396, Y(t)=-3.004271, Z(t)=0.000000
t=5.150000, y(t)=3.997176, y'(t)=0.765395, z(t)=4.391758, z'(t)=0.014786, v(t)=0.000000, v'(t)=0.000000, X(t)=-3.315574, Y(t)=-2.880019, Z(t)=0.000000
t=5.200000, y(t)=4.035441, y'(t)=0.765196, z(t)=4.392491, z'(t)=0.014513, v(t)=0.000000, v'(t)=0.000000, X(t)=-3.423894, Y(t)=-2.751531, Z(t)=0.000000
t=5.250000, y(t)=4.073696, y'(t)=0.764998, z(t)=4.393210, z'(t)=0.014251, v(t)=0.000000, v'(t)=0.000000, X(t)=-3.527200, Y(t)=-2.618998, Z(t)=0.000000
t=5.300000, y(t)=4.111941, y'(t)=0.764800, z(t)=4.393916, z'(t)=0.013997, v(t)=0.000000, v'(t)=0.000000, X(t)=-3.625342, Y(t)=-2.482617, Z(t)=0.000000
t=5.350000, y(t)=4.150176, y'(t)=0.764602, z(t)=4.394610, z'(t)=0.013753, v(t)=0.000000, v'(t)=0.000000, X(t)=-3.718180, Y(t)=-2.342591, Z(t)=0.000000
t=5.400000, y(t)=4.188401, y'(t)=0.764404, z(t)=4.395291, z'(t)=0.013516, v(t)=0.000000, v'(t)=0.000000, X(t)=-3.805578, Y(t)=-2.199128, Z(t)=0.000000
t=5.450000, y(t)=4.226616, y'(t)=0.764206, z(t)=4.395961, z'(t)=0.013287, v(t)=0.000000, v'(t)=0.000000, X(t)=-3.887412, Y(t)=-2.052439, Z(t)=0.000000
t=5.500000, y(t)=4.264821, y'(t)=0.764009, z(t)=4.396620, z'(t)=0.013066, v(t)=0.000000, v'(t)=0.000000, X(t)=-3.963564, Y(t)=-1.902743, Z(t)=0.000000
t=5.550000, y(t)=4.303017, y'(t)=0.763811, z(t)=4.397268, z'(t)=0.012851, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.033926, Y(t)=-1.750259, Z(t)=0.000000
t=5.600000, y(t)=4.341203, y'(t)=0.763614, z(t)=4.397905, z'(t)=0.012642, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.098398, Y(t)=-1.595214, Z(t)=0.000000
t=5.650000, y(t)=4.379378, y'(t)=0.763416, z(t)=4.398532, z'(t)=0.012439, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.156888, Y(t)=-1.437835, Z(t)=0.000000
t=5.700000, y(t)=4.417544, y'(t)=0.763219, z(t)=4.399149, z'(t)=0.012242, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.209314, Y(t)=-1.278355, Z(t)=0.000000
t=5.750000, y(t)=4.455700, y'(t)=0.763022, z(t)=4.399757, z'(t)=0.012050, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.255603, Y(t)=-1.117007, Z(t)=0.000000
t=5.800000, y(t)=4.493846, y'(t)=0.762825, z(t)=4.400354, z'(t)=0.011862, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.295690, Y(t)=-0.954028, Z(t)=0.000000
t=5.850000, y(t)=4.531983, y'(t)=0.762628, z(t)=4.400943, z'(t)=0.011679, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.329519, Y(t)=-0.789658, Z(t)=0.000000
t=5.900000, y(t)=4.570109, y'(t)=0.762431, z(t)=4.401522, z'(t)=0.011500, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.357046, Y(t)=-0.624137, Z(t)=0.000000
t=5.950000, y(t)=4.608226, y'(t)=0.762234, z(t)=4.402093, z'(t)=0.011324, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.378233, Y(t)=-0.457707, Z(t)=0.000000
t=6.000000, y(t)=4.646333, y'(t)=0.762038, z(t)=4.402655, z'(t)=0.011152, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.393053, Y(t)=-0.290612, Z(t)=0.000000
t=6.050000, y(t)=4.684430, y'(t)=0.761841, z(t)=4.403208, z'(t)=0.010983, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.401487, Y(t)=-0.123095, Z(t)=0.000000
t=6.100000, y(t)=4.722517, y'(t)=0.761645, z(t)=4.403753, z'(t)=0.010817, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.403527, Y(t)=0.044599, Z(t)=0.000000
